"Title.href","Title.text","Author.href","Author.text","Price","Format.href","Format.text","Release_Date","index","url"
"http://www.barnesandnoble.com/w/go-set-a-watchman-harper-lee/1121151104;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780062409850","Go Set a Watchman","http://www.barnesandnoble.com/s/%22Harper Lee%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Harper Lee","$16.62","http://www.barnesandnoble.com/w/go-set-a-watchman-harper-lee/1121151104;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780062409850","Hardcover","(07/14/2015)","1","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/grey-e-l-james/1122036118;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781101946343","Grey: Fifty Shades of Grey as Told by Christian","http://www.barnesandnoble.com/s/%22E L James%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","E L James","$9.97","http://www.barnesandnoble.com/w/grey-e-l-james/1122036118;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781101946343","Paperback","(06/18/2015)","2","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/secret-garden-johanna-basford/1115869898;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781780671062","Secret Garden: An Inky Treasure Hunt and Coloring Book","http://www.barnesandnoble.com/s/%22Johanna Basford%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Johanna Basford","$9.95","http://www.barnesandnoble.com/w/secret-garden-johanna-basford/1115869898;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781780671062","Paperback","(03/26/2013)","3","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/the-girl-on-the-train-paula-hawkins/1119671425;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781594633669","The Girl on the Train","http://www.barnesandnoble.com/s/%22Paula Hawkins%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Paula Hawkins","$16.23","http://www.barnesandnoble.com/w/the-girl-on-the-train-paula-hawkins/1119671425;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781594633669","Hardcover","(01/13/2015)","4","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/enchanted-forest-johanna-basford/1120662541;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781780674889","Enchanted Forest: An Inky Quest & Coloring Book","http://www.barnesandnoble.com/s/%22Johanna Basford%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Johanna Basford","$9.95","http://www.barnesandnoble.com/w/enchanted-forest-johanna-basford/1120662541;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781780674889","Paperback","(02/17/2015)","5","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/all-the-light-we-cannot-see-anthony-doerr/1115884714;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781476746586","All the Light We Cannot See","http://www.barnesandnoble.com/s/%22Anthony Doerr%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Anthony Doerr","$15.90","http://www.barnesandnoble.com/w/all-the-light-we-cannot-see-anthony-doerr/1115884714;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781476746586","Hardcover","(05/06/2014)","6","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/what-pet-should-i-get-dr-seuss/1121236824;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780553524260","What Pet Should I Get?","http://www.barnesandnoble.com/s/%22Dr. Seuss%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Dr. Seuss","$10.83","http://www.barnesandnoble.com/w/what-pet-should-i-get-dr-seuss/1121236824;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780553524260","Hardcover","(07/28/2015)","7","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/oh-the-places-youll-go-dr-seuss/1100068206;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780679805274","Oh, the Places You'll Go!","http://www.barnesandnoble.com/s/%22Dr. Seuss%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","Dr. Seuss","$11.66","http://www.barnesandnoble.com/w/oh-the-places-youll-go-dr-seuss/1100068206;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780679805274","Hardcover","(01/28/1990)","8","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/official-sat-study-guide-the-college-board/1100936040;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780874478525","The Official SAT Study Guide","http://www.barnesandnoble.com/s/%22The College Board%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","The College Board","$12.91","http://www.barnesandnoble.com/w/official-sat-study-guide-the-college-board/1100936040;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9780874478525","Paperback","(07/21/2009)","9","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
"http://www.barnesandnoble.com/w/the-wright-brothers-david-mccullough/1120423177;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781476728742","The Wright Brothers","http://www.barnesandnoble.com/s/%22David McCullough%22;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall","David McCullough","$18.44","http://www.barnesandnoble.com/w/the-wright-brothers-david-mccullough/1120423177;jsessionid=DE8140C0430EC72B4825D8D9BBFC4117.prodny_store01-atgap10?ean=9781476728742","Hardcover","(05/05/2015)","10","http://www.barnesandnoble.com/b/the-top-100-bestsellers-of-the-year/_/N-1p4d?No=0&Nrpp=20"
